reporter_iso_3,reporter_name,partner_iso_3,partner_name,year,trade_flow_name,trade_value_1000_usd,trade_value_usd,reporter_continent,partner_continent,reporter_lat,reporter_long,partner_lat,partner_long
ALB,Albania,IND,India,2016,Export,4992.687,4992687.0,Europe,Asia,41.000028,19.9999619,22.3511148,78.6677428
ALB,Albania,GHA,Ghana,2015,Export,60.097,60097.0,Europe,Africa,41.000028,19.9999619,8.0300284,-1.0800271
ALB,Albania,GIN,Guinea,2015,Export,3.387,3387.0,Europe,Africa,41.000028,19.9999619,10.7226226,-10.7083587
ALB,Albania,GIN,Guinea,2016,Export,19.42,19420.0,Europe,Africa,41.000028,19.9999619,10.7226226,-10.7083587
ALB,Albania,GNQ,Equatorial Guinea,2016,Export,34.775,34775.0,Europe,Africa,41.000028,19.9999619,1.613172,10.5170357
ALB,Albania,GRC,Greece,2015,Export,75471.13,75471130.0,Europe,Europe,41.000028,19.9999619,38.9953683,21.9877132
ALB,Albania,GRC,Greece,2016,Export,89849.569,89849569.0,Europe,Europe,41.000028,19.9999619,38.9953683,21.9877132
ALB,Albania,HKG,"Hong Kong, China",2015,Export,7616.372,7616372.0,Europe,Asia,41.000028,19.9999619,22.2793278,114.1628131
ALB,Albania,HKG,"Hong Kong, China",2016,Export,6719.803,6719803.0,Europe,Asia,41.000028,19.9999619,22.2793278,114.1628131
ALB,Albania,HRV,Croatia,2015,Export,3868.996,3868996.0,Europe,Europe,41.000028,19.9999619,45.3658443,15.6575209
ALB,Albania,HRV,Croatia,2016,Export,7595.019,7595019.0,Europe,Europe,41.000028,19.9999619,45.3658443,15.6575209
ALB,Albania,HTI,Haiti,2015,Export,92.103,92103.0,Europe,North America,41.000028,19.9999619,19.1399952,-72.3570972
ALB,Albania,HUN,Hungary,2015,Export,14846.45,14846450.0,Europe,Europe,41.000028,19.9999619,47.1817585,19.5060937
ALB,Albania,HUN,Hungary,2016,Export,19451.528,19451528.0,Europe,Europe,41.000028,19.9999619,47.1817585,19.5060937
ALB,Albania,IDN,Indonesia,2015,Export,68.716,68716.0,Europe,Asia,41.000028,19.9999619,-2.4833826,117.8902853
ALB,Albania,IDN,Indonesia,2016,Export,49.296,49296.0,Europe,Asia,41.000028,19.9999619,-2.4833826,117.8902853
ALB,Albania,GHA,Ghana,2016,Export,12.134,12134.0,Europe,Africa,41.000028,19.9999619,8.0300284,-1.0800271
ALB,Albania,LUX,Luxembourg,2015,Export,113.702,113702.0,Europe,Europe,41.000028,19.9999619,49.8158683,6.1296751
ALB,Albania,LUX,Luxembourg,2016,Export,71.271,71271.0,Europe,Europe,41.000028,19.9999619,49.8158683,6.1296751
ALB,Albania,LVA,Latvia,2015,Export,383.968,383968.0,Europe,Europe,41.000028,19.9999619,56.8406494,24.7537645
ALB,Albania,PAK,Pakistan,2015,Export,60.331,60331.0,Europe,Asia,41.000028,19.9999619,30.3308401,71.247499
ALB,Albania,PAK,Pakistan,2016,Export,12.159,12159.0,Europe,Asia,41.000028,19.9999619,30.3308401,71.247499
ALB,Albania,PER,Peru,2016,Export,57.485,57485.0,Europe,South America,41.000028,19.9999619,-6.8699697,-75.0458515
ALB,Albania,POL,Poland,2015,Export,3558.213,3558213.0,Europe,Europe,41.000028,19.9999619,52.215933,19.134422
ALB,Albania,POL,Poland,2016,Export,3211.76,3211760.0,Europe,Europe,41.000028,19.9999619,52.215933,19.134422
ALB,Albania,PRT,Portugal,2015,Export,181.254,181254.0,Europe,Europe,41.000028,19.9999619,39.6621648,-8.1353519
ALB,Albania,PRT,Portugal,2016,Export,493.201,493201.0,Europe,Europe,41.000028,19.9999619,39.6621648,-8.1353519
ALB,Albania,QAT,Qatar,2015,Export,25.731,25731.0,Europe,Asia,41.000028,19.9999619,25.3336984,51.2295295
ALB,Albania,QAT,Qatar,2016,Export,17.135,17135.0,Europe,Asia,41.000028,19.9999619,25.3336984,51.2295295
ALB,Albania,ROM,Romania,2015,Export,10606.371,10606371.0,Europe,,41.000028,19.9999619,45.9852129,24.6859225
ALB,Albania,ROM,Romania,2016,Export,27676.626,27676626.0,Europe,,41.000028,19.9999619,45.9852129,24.6859225
ALB,Albania,RUS,Russian Federation,2015,Export,409.592,409592.0,Europe,Europe,41.000028,19.9999619,64.6863136,97.7453061
ALB,Albania,RUS,Russian Federation,2016,Export,490.811,490811.0,Europe,Europe,41.000028,19.9999619,64.6863136,97.7453061
ALB,Albania,SAU,Saudi Arabia,2015,Export,4362.05,4362050.0,Europe,Asia,41.000028,19.9999619,25.6242618,42.3528328
ALB,Albania,OMN,Oman,2016,Export,25.171,25171.0,Europe,Asia,41.000028,19.9999619,21.0000287,57.0036901
ALB,Albania,SAU,Saudi Arabia,2016,Export,431.08,431080.0,Europe,Asia,41.000028,19.9999619,25.6242618,42.3528328
ALB,Albania,SEN,Senegal,2016,Export,24.54,24540.0,Europe,Africa,41.000028,19.9999619,14.4750607,-14.4529612
ALB,Albania,SER,"Serbia, FR(Serbia/Montenegro)",2015,Export,191433.968,191433968.0,Europe,,41.000028,19.9999619,,
ALB,Albania,SER,"Serbia, FR(Serbia/Montenegro)",2016,Export,171675.75,171675750.0,Europe,,41.000028,19.9999619,,
ALB,Albania,SGP,Singapore,2015,Export,119.325,119325.0,Europe,Asia,41.000028,19.9999619,1.357107,103.8194992
ALB,Albania,SGP,Singapore,2016,Export,734.043,734043.0,Europe,Asia,41.000028,19.9999619,1.357107,103.8194992
ALB,Albania,SMR,San Marino,2015,Export,178.302,178302.0,Europe,Europe,41.000028,19.9999619,43.9458623,12.458306
ALB,Albania,SUD,Sudan,2016,Export,18.928,18928.0,Europe,,41.000028,19.9999619,14.5844444,29.4917691
ALB,Albania,SVK,Slovak Republic,2015,Export,1242.53,1242530.0,Europe,Europe,41.000028,19.9999619,48.7411522,19.4528646
ALB,Albania,SVK,Slovak Republic,2016,Export,2609.606,2609606.0,Europe,Europe,41.000028,19.9999619,48.7411522,19.4528646
ALB,Albania,SVN,Slovenia,2015,Export,9099.576,9099576.0,Europe,Europe,41.000028,19.9999619,46.1199444,14.8153333
ALB,Albania,SVN,Slovenia,2016,Export,11036.453,11036453.0,Europe,Europe,41.000028,19.9999619,46.1199444,14.8153333
ALB,Albania,SWE,Sweden,2015,Export,945.763,945763.0,Europe,Europe,41.000028,19.9999619,59.6749712,14.5208584
ALB,Albania,SWE,Sweden,2016,Export,4449.701,4449701.0,Europe,Europe,41.000028,19.9999619,59.6749712,14.5208584
ALB,Albania,SWZ,Eswatini,2015,Export,11.729,11729.0,Europe,Africa,41.000028,19.9999619,-26.5624806,31.3991317
ALB,Albania,SEN,Senegal,2015,Export,17.398,17398.0,Europe,Africa,41.000028,19.9999619,14.4750607,-14.4529612
ALB,Albania,OMN,Oman,2015,Export,29.221,29221.0,Europe,Asia,41.000028,19.9999619,21.0000287,57.0036901
ALB,Albania,OAS,"Other Asia, nes",2016,Export,196.998,196998.0,Europe,,41.000028,19.9999619,,
ALB,Albania,OAS,"Other Asia, nes",2015,Export,691.539,691539.0,Europe,,41.000028,19.9999619,,
ALB,Albania,LVA,Latvia,2016,Export,571.079,571079.0,Europe,Europe,41.000028,19.9999619,56.8406494,24.7537645
ALB,Albania,MAC,Macao,2015,Export,21.014,21014.0,Europe,Asia,41.000028,19.9999619,22.1899448,113.5380454
ALB,Albania,MAC,Macao,2016,Export,16.788,16788.0,Europe,Asia,41.000028,19.9999619,22.1899448,113.5380454
ALB,Albania,MAR,Morocco,2015,Export,644.947,644947.0,Europe,Africa,41.000028,19.9999619,31.1728205,-7.3362482
ALB,Albania,MAR,Morocco,2016,Export,110.132,110132.0,Europe,Africa,41.000028,19.9999619,31.1728205,-7.3362482
ALB,Albania,MDA,Moldova,2015,Export,19.09,19090.0,Europe,Europe,41.000028,19.9999619,47.2879608,28.5670941
ALB,Albania,MDA,Moldova,2016,Export,193.342,193342.0,Europe,Europe,41.000028,19.9999619,47.2879608,28.5670941
ALB,Albania,MEX,Mexico,2015,Export,15.036,15036.0,Europe,North America,41.000028,19.9999619,23.6585116,-102.0077097
ALB,Albania,MEX,Mexico,2016,Export,184.615,184615.0,Europe,North America,41.000028,19.9999619,23.6585116,-102.0077097
ALB,Albania,MHL,Marshall Islands,2015,Export,1058.641,1058641.0,Europe,Oceania,41.000028,19.9999619,8.9995549,168.0002575
ALB,Albania,MHL,Marshall Islands,2016,Export,2375.599,2375599.0,Europe,Oceania,41.000028,19.9999619,8.9995549,168.0002575
ALB,Albania,MKD,North Macedonia,2015,Export,50893.79,50893790.0,Europe,Europe,41.000028,19.9999619,41.6171214,21.7168387
ALB,Albania,MKD,North Macedonia,2016,Export,51740.214,51740214.0,Europe,Europe,41.000028,19.9999619,41.6171214,21.7168387
ALB,Albania,MLI,Mali,2015,Export,2.188,2188.0,Europe,Africa,41.000028,19.9999619,16.3700359,-2.2900239
ALB,Albania,MLT,Malta,2015,Export,88945.037,88945037.0,Europe,Europe,41.000028,19.9999619,35.8885993,14.4476911
ALB,Albania,MLT,Malta,2016,Export,64596.489,64596489.0,Europe,Europe,41.000028,19.9999619,35.8885993,14.4476911
ALB,Albania,MNT,Montenegro,2015,Export,26780.211,26780211.0,Europe,,41.000028,19.9999619,42.9868853,19.5180992
ALB,Albania,NZL,New Zealand,2016,Export,0.533,533.0,Europe,Oceania,41.000028,19.9999619,-41.5000831,172.8344077
ALB,Albania,NZL,New Zealand,2015,Export,1.646,1646.0,Europe,Oceania,41.000028,19.9999619,-41.5000831,172.8344077
ALB,Albania,NOR,Norway,2016,Export,139.641,139641.0,Europe,Europe,41.000028,19.9999619,61.1529386,8.7876653
ALB,Albania,NOR,Norway,2015,Export,92.955,92955.0,Europe,Europe,41.000028,19.9999619,61.1529386,8.7876653
ALB,Albania,NLD,Netherlands,2016,Export,10699.968,10699968.0,Europe,Europe,41.000028,19.9999619,52.2434979,5.6343227
ALB,Albania,NLD,Netherlands,2015,Export,16329.891,16329891.0,Europe,Europe,41.000028,19.9999619,52.2434979,5.6343227
ALB,Albania,EGY,"Egypt, Arab Rep.",2015,Export,11475.954,11475954.0,Europe,Africa,41.000028,19.9999619,,
ALB,Albania,NGA,Nigeria,2016,Export,18.844,18844.0,Europe,Africa,41.000028,19.9999619,9.6000359,7.9999721
ALB,Albania,NER,Niger,2016,Export,36.127,36127.0,Europe,Africa,41.000028,19.9999619,17.7356214,9.3238432
ALB,Albania,NER,Niger,2015,Export,175.486,175486.0,Europe,Africa,41.000028,19.9999619,17.7356214,9.3238432
ALB,Albania,MYS,Malaysia,2016,Export,8.198,8198.0,Europe,Asia,41.000028,19.9999619,4.5693754,102.2656823
ALB,Albania,MYS,Malaysia,2015,Export,100.039,100039.0,Europe,Asia,41.000028,19.9999619,4.5693754,102.2656823
ALB,Albania,MUS,Mauritius,2016,Export,4.155,4155.0,Europe,Africa,41.000028,19.9999619,-20.2759451,57.5703566
ALB,Albania,MNT,Montenegro,2016,Export,35278.433,35278433.0,Europe,,41.000028,19.9999619,42.9868853,19.5180992
ALB,Albania,NGA,Nigeria,2015,Export,16.356,16356.000000000002,Europe,Africa,41.000028,19.9999619,9.6000359,7.9999721
ALB,Albania,SWZ,Eswatini,2016,Export,3.054,3054.0,Europe,Africa,41.000028,19.9999619,-26.5624806,31.3991317
ALB,Albania,DZA,Algeria,2016,Export,12.918,12918.0,Europe,Africa,41.000028,19.9999619,28.0000272,2.9999825
ALB,Albania,DNK,Denmark,2016,Export,6905.243,6905243.0,Europe,Europe,41.000028,19.9999619,55.670249,10.3333283
ALB,Albania,FIN,Finland,2000,Export,11.428,11428.0,Europe,Europe,41.000028,19.9999619,63.2467777,25.9209164
ALB,Albania,ESP,Spain,2002,Export,898.539,898539.0,Europe,Europe,41.000028,19.9999619,39.3260685,-4.8379791
ALB,Albania,ESP,Spain,2001,Export,273.416,273416.0,Europe,Europe,41.000028,19.9999619,39.3260685,-4.8379791
ALB,Albania,ESP,Spain,2000,Export,154.486,154486.0,Europe,Europe,41.000028,19.9999619,39.3260685,-4.8379791
ALB,Albania,DZA,Algeria,2001,Export,0.452,452.0,Europe,Africa,41.000028,19.9999619,28.0000272,2.9999825
ALB,Albania,DNK,Denmark,2002,Export,204.384,204384.0,Europe,Europe,41.000028,19.9999619,55.670249,10.3333283
ALB,Albania,DNK,Denmark,2001,Export,768.052,768052.0,Europe,Europe,41.000028,19.9999619,55.670249,10.3333283
ALB,Albania,DNK,Denmark,2000,Export,2691.595,2691595.0,Europe,Europe,41.000028,19.9999619,55.670249,10.3333283
ALB,Albania,DMA,Dominica,2002,Export,36.896,36896.0,Europe,North America,41.000028,19.9999619,19.0974031,-70.3028026
ALB,Albania,DEU,Germany,2002,Export,18310.729,18310729.0,Europe,Europe,41.000028,19.9999619,51.1638175,10.4478313
ALB,Albania,DEU,Germany,2001,Export,16807.268,16807268.0,Europe,Europe,41.000028,19.9999619,51.1638175,10.4478313
ALB,Albania,DEU,Germany,2000,Export,17156.992,17156992.0,Europe,Europe,41.000028,19.9999619,51.1638175,10.4478313
ALB,Albania,CZE,Czech Republic,2002,Export,421.246,421246.0,Europe,Europe,41.000028,19.9999619,49.7439047,15.3381061
ALB,Albania,CZE,Czech Republic,2001,Export,489.802,489802.0,Europe,Europe,41.000028,19.9999619,49.7439047,15.3381061
ALB,Albania,FIN,Finland,2001,Export,0.249,249.0,Europe,Europe,41.000028,19.9999619,63.2467777,25.9209164
ALB,Albania,CZE,Czech Republic,2000,Export,220.194,220194.0,Europe,Europe,41.000028,19.9999619,49.7439047,15.3381061
ALB,Albania,CYP,Cyprus,2001,Export,2.519,2519.0,Europe,Asia,41.000028,19.9999619,34.9823018,33.1451285
ALB,Albania,CYP,Cyprus,2000,Export,19.624,19624.0,Europe,Asia,41.000028,19.9999619,34.9823018,33.1451285
ALB,Albania,COL,Colombia,2002,Export,5.535,5535.0,Europe,South America,41.000028,19.9999619,4.099917,-72.9088133
ALB,Albania,COK,Cook Islands,2001,Export,48.104,48104.0,Europe,Oceania,41.000028,19.9999619,-19.99697155,-157.78587140620786
ALB,Albania,CHN,China,2002,Export,6.575,6575.0,Europe,Asia,41.000028,19.9999619,35.000074,104.999927
ALB,Albania,CHN,China,2000,Export,1.013,1012.9999999999999,Europe,Asia,41.000028,19.9999619,35.000074,104.999927
ALB,Albania,CHE,Switzerland,2002,Export,538.041,538041.0,Europe,Europe,41.000028,19.9999619,46.7985624,8.2319736
ALB,Albania,CHE,Switzerland,2001,Export,4477.798,4477798.0,Europe,Europe,41.000028,19.9999619,46.7985624,8.2319736
ALB,Albania,CHE,Switzerland,2000,Export,718.321,718321.0,Europe,Europe,41.000028,19.9999619,46.7985624,8.2319736
ALB,Albania,CAN,Canada,2002,Export,15.923,15923.0,Europe,North America,41.000028,19.9999619,61.0666922,-107.991707
ALB,Albania,CAN,Canada,2001,Export,0.007,7.0,Europe,North America,41.000028,19.9999619,61.0666922,-107.991707
ALB,Albania,CAN,Canada,2000,Export,0.39,390.0,Europe,North America,41.000028,19.9999619,61.0666922,-107.991707
ALB,Albania,BLR,Belarus,2000,Export,1236.158,1236158.0,Europe,Europe,41.000028,19.9999619,53.4250605,27.6971358
